7,ARSON,38
7,ASSAULT,1930
7,BATTERY,4850
7,BURGLARY,1131
7,CONCEALED CARRY LICENSE VIOLATION,13
7,CRIM SEXUAL ASSAULT,150
7,CRIMINAL DAMAGE,2691
7,CRIMINAL TRESPASS,587
7,DECEPTIVE PRACTICE,1571
7,GAMBLING,42
7,HOMICIDE,61
7,INTERFERENCE WITH PUBLIC OFFICER,132
7,INTIMIDATION,23
7,KIDNAPPING,13
7,LIQUOR LAW VIOLATION,32
7,MOTOR VEHICLE THEFT,808
7,NARCOTICS,1064
7,NON-CRIMINAL,3
7,NON-CRIMINAL (SUBJECT SPECIFIED),1
7,OBSCENITY,13
7,OFFENSE INVOLVING CHILDREN,167
7,OTHER OFFENSE,1553
7,PROSTITUTION,46
7,PUBLIC INDECENCY,1
7,PUBLIC PEACE VIOLATION,113
7,ROBBERY,877
7,SEX OFFENSE,80
7,STALKING,25
7,THEFT,6036
7,WEAPONS VIOLATION,544
8,ARSON,37
8,ASSAULT,1824
8,BATTERY,4592
8,BURGLARY,1202
8,CONCEALED CARRY LICENSE VIOLATION,16
8,CRIM SEXUAL ASSAULT,146
8,CRIMINAL DAMAGE,2605
8,CRIMINAL TRESPASS,586
8,DECEPTIVE PRACTICE,1591
8,GAMBLING,39
8,HOMICIDE,57
8,HUMAN TRAFFICKING,1
8,INTERFERENCE WITH PUBLIC OFFICER,126
8,INTIMIDATION,19
8,KIDNAPPING,15
8,LIQUOR LAW VIOLATION,25
8,MOTOR VEHICLE THEFT,877
8,NARCOTICS,1061
8,NON-CRIMINAL,3
8,NON-CRIMINAL (SUBJECT SPECIFIED),1
8,OBSCENITY,7
8,OFFENSE INVOLVING CHILDREN,174
8,OTHER OFFENSE,1470
8,PROSTITUTION,74
8,PUBLIC INDECENCY,1
8,PUBLIC PEACE VIOLATION,119
8,ROBBERY,940
8,SEX OFFENSE,115
8,STALKING,15
8,THEFT,6366
8,WEAPONS VIOLATION,559
9,ARSON,32
9,ASSAULT,1727
9,BATTERY,4172
9,BURGLARY,1043
9,CONCEALED CARRY LICENSE VIOLATION,19
9,CRIM SEXUAL ASSAULT,150
9,CRIMINAL DAMAGE,2260
9,CRIMINAL TRESPASS,594
9,DECEPTIVE PRACTICE,1365
9,GAMBLING,18
9,HOMICIDE,52
9,HUMAN TRAFFICKING,3
9,INTERFERENCE WITH PUBLIC OFFICER,116
9,INTIMIDATION,14
9,KIDNAPPING,11
9,LIQUOR LAW VIOLATION,28
9,MOTOR VEHICLE THEFT,858
9,NARCOTICS,983
9,NON-CRIMINAL,4
9,OBSCENITY,8
9,OFFENSE INVOLVING CHILDREN,170
